picture (1);Alltagshübsch;Schneewolke;Telegram-Sticker;Eine Heißgetränke schlürfende Schneewolke.
picture (2);Alltagshübsch;Happy Sun;Telegram-Sticker;Eine Sonne, die den Regenbogen runterrutscht
picture (3);Alltagshübsch;Ill Sun;Telegram-Sticker;Eine kranke Sonne mit Fieberthermometer, Popel und Decke
picture (4);Alltagshübsch;Verliebte Sonne;Telegram-Sticker;Eine Sonne mit Herzaugen, Pralinen und Blumenstrauß
picture (5);Alltagshübsch;Verrückte Sonne;Telegram-Sticker;Diese Sonne ist für den Tag durch.
picture (6);Alltagshübsch;Albern;Telegram-Sticker;Die Wolke schiebt sich neckisch vor die Sonne
picture (7);Alltagshübsch;Komm her, knuddeln!;Telegram-Sticker;Die Sonne Überrascht die Wolke mit einem Knuddler
picture (8);Alltagshübsch;Kräuterhexe;Telegram-Sticker;Wärmt euch an meinem Feuer auf! Gleich ist die Suppe fertig.
picture (9);Alltagshübsch;Aus allen Wolken gefallen;Telegram-Sticker;Eine erstaunte oder erschrockene Wolke
picture (10);Alltagshübsch;Kokett;Telegram-Sticker;Eine Kokette Mädchenwolke
picture (11);Alltagshübsch;Nicht schon wieder!;Telegram-Sticker;Diese Wolke ist absolut niedergeschlagen. Das merken auch die Erdenbewohner, denn es gibt starken Niederschlag
picture (12);Alltagshübsch;Schnauze!;Telegram-Sticker;Mit dieser Sonne würde ich mich nicht anlegen, auch wenn sie irgendwie knuffig aussieht.
